class,x1-x0,y1-y0,z1-z0,x2-x1,y2-y1,z2-z1,x3-x2,y3-y2,z3-z2,x4-x3,y4-y3,z4-z3,x5-x4,y5-y4,z5-z4,x6-x5,y6-y5,z6-z5,x7-x6,y7-y6,z7-z6,x8-x7,y8-y7,z8-z7,x9-x8,y9-y8,z9-z8,x10-x9,y10-y9,z10-z9,x11-x10,y11-y10,z11-z10,x12-x11,y12-y11,z12-z11,x13-x12,y13-y12,z13-z12,x14-x13,y14-y13,z14-z13,x15-x14,y15-y14,z15-z14,x16-x15,y16-y15,z16-z15,x17-x16,y17-y16,z17-z16,x18-x17,y18-y17,z18-z17,x19-x18,y19-y18,z19-z18,x20-x19,y20-y19,z20-z19,x21-x20,y21-y20,z21-z20,x22-x21,y22-y21,z22-z21,x23-x22,y23-y22,z23-z22,x24-x23,y24-y23,z24-z23,x25-x24,y25-y24,z25-z24,x26-x25,y26-y25,z26-z25,x27-x26,y27-y26,z27-z26,x28-x27,y28-y27,z28-z27,x29-x28,y29-y28,z29-z28,x30-x29,y30-y29,z30-z29,x31-x30,y31-y30,z31-z30,x32-x31,y32-y31,z32-z31,x33-x32,y33-y32,z33-z32,x34-x33,y34-y33,z34-z33,x35-x34,y35-y34,z35-z34,minx,miny,mine,maxx,maxy,maxe
2,2,-1,2.23606797749979,1,1,1.4142135623730951,2,-1,2.23606797749979,1,-1,1.4142135623730951,1,-3,3.1622776601683795,2,-4,4.47213595499958,2,-4,4.47213595499958,3,-5,5.830951894845301,3,-6,6.708203932499369,3,-6,6.708203932499369,2,-7,7.280109889280518,2,-9,9.219544457292887,2,-9,9.219544457292887,0,-8,8.0,1,-9,9.055385138137417,0,-9,9.0,1,-11,11.045361017187261,1,-11,11.045361017187261,2,-10,10.198039027185569,1,-9,9.055385138137417,1,-7,7.0710678118654755,3,-7,7.615773105863909,2,-4,4.47213595499958,1,1,1.4142135623730951,2,5,5.385164807134504,3,8,8.54400374531753,6,6,8.48528137423857,4,7,8.06225774829855,2,11,11.180339887498949,-1,18,18.027756377319946,-3,20,20.223748416156685,-7,20,21.18962010041709,-8,19,20.615528128088304,0,10,10.0,11,0,11.0,0,0,1.4142135623730951,11,20,21.18962010041709
2,0,0,0.0,-1,0,1.0,1,0,1.0,1,-1,1.4142135623730951,2,-2,2.8284271247461903,0,-1,1.0,1,0,1.0,0,0,0.0,1,0,1.0,1,-1,1.4142135623730951,3,-4,5.0,6,-6,8.48528137423857,7,-6,9.219544457292887,7,-5,8.602325267042627,6,-3,6.708203932499369,7,-3,7.615773105863909,9,-3,9.486832980505138,12,-5,13.0,12,-3,12.36931687685298,8,-4,8.94427190999916,9,-3,9.486832980505138,8,-2,8.246211251235321,-1,-1,1.4142135623730951,-11,1,11.045361017187261,-19,5,19.6468827043885,-16,5,16.76305461424021,-13,2,13.152946437965905,-14,1,14.035668847618199,-16,2,16.1245154965971,-15,3,15.297058540778355,-13,3,13.341664064126334,-17,3,17.26267650163207,-8,-1,8.06225774829855,-4,4,5.656854249492381,-13,21,24.698178070456937,0,0,0.0,19,21,24.698178070456937
2,0,0,0.0,0,0,0.0,0,0,0.0,1,-2,2.23606797749979,2,-1,2.23606797749979,0,0,0.0,0,0,0.0,1,0,1.0,0,0,0.0,1,-1,1.4142135623730951,3,-2,3.605551275463989,7,-5,8.602325267042627,8,-4,8.94427190999916,7,-3,7.615773105863909,6,-1,6.082762530298219,7,-1,7.0710678118654755,9,-1,9.055385138137417,14,-1,14.035668847618199,12,-1,12.041594578792296,9,-2,9.219544457292887,9,-2,9.219544457292887,6,-1,6.082762530298219,0,0,0.0,-13,-2,13.152946437965905,-22,1,22.02271554554524,-19,2,19.1049731745428,-14,-1,14.035668847618199,-15,-2,15.132745950421556,-16,-2,16.1245154965971,-16,1,16.0312195418814,-15,0,15.0,-17,1,17.029386365926403,-7,-3,7.615773105863909,-1,2,2.23606797749979,-12,18,21.633307652783937,0,0,0.0,22,18,22.02271554554524
2,3,0,3.0,3,0,3.0,3,0,3.0,1,0,1.0,3,-2,3.605551275463989,4,-3,5.0,3,-3,4.242640687119285,4,-4,5.656854249492381,5,-5,7.0710678118654755,5,-4,6.4031242374328485,4,-7,8.06225774829855,5,-8,9.433981132056603,4,-8,8.94427190999916,3,-8,8.54400374531753,3,-10,10.44030650891055,3,-9,9.486832980505138,4,-9,9.848857801796104,3,-12,12.36931687685298,4,-10,10.770329614269007,3,-9,9.486832980505138,3,-5,5.830951894845301,3,-5,5.830951894845301,0,1,1.0,0,0,0.0,0,0,0.0,1,2,2.23606797749979,5,8,9.433981132056603,3,7,7.615773105863909,-1,10,10.04987562112089,-5,16,16.76305461424021,-6,18,18.973665961010276,-11,20,22.825424421026653,-12,16,20.0,-2,8,8.246211251235321,12,0,12.0,0,0,0.0,12,20,22.825424421026653
2,2,0,2.0,3,0,3.0,2,0,2.0,1,0,1.0,3,-2,3.605551275463989,3,-3,4.242640687119285,2,-3,3.605551275463989,4,-4,5.656854249492381,4,-4,5.656854249492381,3,-5,5.830951894845301,4,-6,7.211102550927978,4,-7,8.06225774829855,3,-7,7.615773105863909,2,-7,7.280109889280518,2,-7,7.280109889280518,3,-8,8.54400374531753,2,-9,9.219544457292887,3,-10,10.44030650891055,3,-9,9.486832980505138,2,-8,8.246211251235321,2,-7,7.280109889280518,4,-6,7.211102550927978,3,-4,5.0,0,1,1.0,1,4,4.123105625617661,3,6,6.708203932499369,5,6,7.810249675906654,3,6,6.708203932499369,0,9,9.0,-3,16,16.278820596099706,-5,17,17.72004514666935,-10,18,20.591260281974,-10,16,18.867962264113206,-1,8,8.06225774829855,12,0,12.0,0,0,1.0,12,18,20.591260281974
2,1,0,1.0,0,0,0.0,0,0,0.0,0,-1,1.0,1,-1,1.4142135623730951,1,-3,3.1622776601683795,1,-3,3.1622776601683795,1,-4,4.123105625617661,3,-4,5.0,1,-5,5.0990195135927845,2,-6,6.324555320336759,1,-7,7.0710678118654755,1,-7,7.0710678118654755,0,-7,7.0,0,-7,7.0,-1,-8,8.06225774829855,0,-10,10.0,1,-10,10.04987562112089,0,-8,8.0,1,-8,8.06225774829855,1,-8,8.06225774829855,1,-6,6.082762530298219,2,-4,4.47213595499958,1,1,1.4142135623730951,3,5,5.830951894845301,4,7,8.06225774829855,7,5,8.602325267042627,5,6,7.810249675906654,4,11,11.704699910719626,1,18,18.027756377319946,-1,18,18.027756377319946,-5,21,21.587033144922902,-4,19,19.4164878389476,1,9,9.055385138137417,10,0,10.0,0,0,0.0,10,21,21.587033144922902
2,0,0,0.0,-1,0,1.0,1,0,1.0,0,-1,1.0,1,-1,1.4142135623730951,0,-1,1.0,1,0,1.0,0,1,1.0,0,-1,1.0,1,0,1.0,1,-3,3.1622776601683795,3,-6,6.708203932499369,5,-5,7.0710678118654755,3,-5,5.830951894845301,5,-5,7.0710678118654755,5,-4,6.4031242374328485,5,-6,7.810249675906654,8,-6,10.0,9,-7,11.40175425099138,7,-7,9.899494936611665,8,-5,9.433981132056603,7,-4,8.06225774829855,1,-1,1.4142135623730951,-4,4,5.656854249492381,-8,8,11.313708498984761,-9,9,12.727922061357855,-9,4,9.848857801796104,-11,5,12.083045973594572,-14,4,14.560219778561036,-14,6,15.231546211727817,-12,4,12.649110640673518,-12,6,13.416407864998739,-10,2,10.198039027185569,-8,6,10.0,-11,21,23.706539182259394,0,0,0.0,14,21,23.706539182259394
2,3,1,3.1622776601683795,2,0,2.0,3,1,3.1622776601683795,2,0,2.0,3,-1,3.1622776601683795,3,-2,3.605551275463989,3,-2,3.605551275463989,4,-2,4.47213595499958,4,-4,5.656854249492381,4,-3,5.0,5,-4,6.4031242374328485,4,-5,6.4031242374328485,4,-6,7.211102550927978,4,-6,7.211102550927978,3,-5,5.830951894845301,3,-7,7.615773105863909,4,-7,8.06225774829855,4,-8,8.94427190999916,5,-8,9.433981132056603,3,-7,7.615773105863909,3,-6,6.708203932499369,4,-6,7.211102550927978,3,-3,4.242640687119285,1,0,1.0,1,4,4.123105625617661,2,5,5.385164807134504,3,5,5.830951894845301,3,5,5.830951894845301,-1,7,7.0710678118654755,-6,13,14.317821063276353,-7,14,15.652475842498529,-11,14,17.804493814764857,-12,14,18.439088914585774,-1,7,7.0710678118654755,12,0,12.0,1,0,1.0,12,14,18.439088914585774
2,0,0,0.0,0,0,0.0,0,0,0.0,1,-1,1.4142135623730951,1,-2,2.23606797749979,0,0,0.0,1,0,1.0,0,0,0.0,0,0,0.0,1,-1,1.4142135623730951,2,-4,4.47213595499958,4,-7,8.06225774829855,5,-6,7.810249675906654,4,-5,6.4031242374328485,4,-5,6.4031242374328485,4,-4,5.656854249492381,7,-5,8.602325267042627,9,-6,10.816653826391969,9,-6,10.816653826391969,7,-5,8.602325267042627,7,-5,8.602325267042627,6,-4,7.211102550927978,-1,-1,1.4142135623730951,-9,4,9.848857801796104,-14,7,15.652475842498529,-12,7,13.892443989449804,-9,4,9.848857801796104,-11,3,11.40175425099138,-12,4,12.649110640673518,-11,5,12.083045973594572,-9,4,9.848857801796104,-14,5,14.866068747318506,-5,0,5.0,-2,5,5.385164807134504,-7,20,21.18962010041709,0,0,0.0,14,20,21.18962010041709
2,0,0,0.0,0,0,0.0,0,0,0.0,1,-1,1.4142135623730951,1,-1,1.4142135623730951,0,-1,1.0,0,0,0.0,1,0,1.0,0,0,0.0,1,0,1.0,2,-3,3.605551275463989,5,-5,7.0710678118654755,6,-5,7.810249675906654,5,-4,6.4031242374328485,4,-3,5.0,4,-3,5.0,7,-3,7.615773105863909,10,-4,10.770329614269007,9,-4,9.848857801796104,6,-4,7.211102550927978,7,-4,8.06225774829855,5,-2,5.385164807134504,-1,-1,1.4142135623730951,-12,1,12.041594578792296,-18,3,18.24828759089466,-15,5,15.811388300841896,-11,1,11.045361017187261,-11,1,11.045361017187261,-12,2,12.165525060596439,-12,3,12.36931687685298,-11,3,11.40175425099138,-14,2,14.142135623730951,-3,0,3.0,0,3,3.0,-7,19,20.248456731316587,0,0,0.0,18,19,20.248456731316587
