class,x1-x0,y1-y0,z1-z0,x2-x1,y2-y1,z2-z1,x3-x2,y3-y2,z3-z2,x4-x3,y4-y3,z4-z3,x5-x4,y5-y4,z5-z4,x6-x5,y6-y5,z6-z5,x7-x6,y7-y6,z7-z6,x8-x7,y8-y7,z8-z7,x9-x8,y9-y8,z9-z8,x10-x9,y10-y9,z10-z9,x11-x10,y11-y10,z11-z10,x12-x11,y12-y11,z12-z11,x13-x12,y13-y12,z13-z12,x14-x13,y14-y13,z14-z13,x15-x14,y15-y14,z15-z14,x16-x15,y16-y15,z16-z15,x17-x16,y17-y16,z17-z16,x18-x17,y18-y17,z18-z17,x19-x18,y19-y18,z19-z18,x20-x19,y20-y19,z20-z19,x21-x20,y21-y20,z21-z20,x22-x21,y22-y21,z22-z21,x23-x22,y23-y22,z23-z22,x24-x23,y24-y23,z24-z23,x25-x24,y25-y24,z25-z24,x26-x25,y26-y25,z26-z25,x27-x26,y27-y26,z27-z26,x28-x27,y28-y27,z28-z27,x29-x28,y29-y28,z29-z28,x30-x29,y30-y29,z30-z29,x31-x30,y31-y30,z31-z30,x32-x31,y32-y31,z32-z31,x33-x32,y33-y32,z33-z32,x34-x33,y34-y33,z34-z33,x35-x34,y35-y34,z35-z34,x36-x35,y36-y35,z36-z35,x37-x36,y37-y36,z37-z36,x38-x37,y38-y37,z38-z37,x39-x38,y39-y38,z39-z38,x40-x39,y40-y39,z40-z39,x41-x40,y41-y40,z41-z40,x42-x41,y42-y41,z42-z41,x43-x42,y43-y42,z43-z42,x44-x43,y44-y43,z44-z43,minx,miny,mine,maxx,maxy,maxe
2,0,0,0.0,0,0,0.0,-1,0,1.0,1,-1,1.4142135623730951,1,-1,1.4142135623730951,2,-1,2.23606797749979,1,0,1.0,0,0,0.0,0,-1,1.0,1,0,1.0,0,0,0.0,0,-1,1.0,6,1,6.082762530298219,8,-2,8.246211251235321,10,-2,10.198039027185569,12,-1,12.041594578792296,11,0,11.0,11,1,11.045361017187261,11,2,11.180339887498949,12,3,12.36931687685298,15,3,15.297058540778355,18,3,18.24828759089466,19,5,19.6468827043885,14,1,14.035668847618199,10,0,10.0,9,0,9.0,11,2,11.180339887498949,0,0,0.0,0,0,0.0,0,0,0.0,-19,0,19.0,-19,2,19.1049731745428,-17,-1,17.029386365926403,-17,-3,17.26267650163207,-21,-4,21.37755832643195,-23,-6,23.769728648009426,-23,-6,23.769728648009426,-21,-4,21.37755832643195,-19,-3,19.235384061671343,-24,-2,24.08318915758459,-16,-7,17.46424919657298,-16,-8,17.88854381999832,-20,2,20.09975124224178,-27,11,29.154759474226502,0,0,0.0,27,11,29.154759474226502
2,0,0,0.0,-1,0,1.0,0,0,0.0,1,-1,1.4142135623730951,2,-1,2.23606797749979,1,-1,1.4142135623730951,1,-1,1.4142135623730951,1,0,1.0,0,0,0.0,1,0,1.0,0,-1,1.0,1,-1,1.4142135623730951,4,-1,4.123105625617661,5,-3,5.830951894845301,9,-4,9.848857801796104,9,-4,9.848857801796104,8,-3,8.54400374531753,9,-2,9.219544457292887,9,-1,9.055385138137417,10,0,10.0,12,0,12.0,15,0,15.0,16,0,16.0,14,0,14.0,9,-1,9.055385138137417,10,-1,10.04987562112089,10,0,10.0,4,0,4.0,-3,0,3.0,-12,0,12.0,-18,1,18.027756377319946,-17,3,17.26267650163207,-16,1,16.0312195418814,-15,0,15.0,-19,-1,19.026297590440446,-22,-1,22.02271554554524,-20,-2,20.09975124224178,-18,-1,18.027756377319946,-18,1,18.027756377319946,-19,1,19.026297590440446,-13,-4,13.601470508735444,-14,-3,14.317821063276353,-16,6,17.08800749063506,-22,17,27.80287754891569,0,0,0.0,22,17,27.80287754891569
2,0,0,0.0,0,0,0.0,1,0,1.0,0,-1,1.0,0,-3,3.0,1,-4,4.123105625617661,0,-5,5.0,0,-6,6.0,1,-6,6.082762530298219,1,-7,7.0710678118654755,1,-7,7.0710678118654755,1,-9,9.055385138137417,0,-9,9.0,0,-9,9.0,0,-11,11.0,0,-11,11.0,-2,-10,10.198039027185569,-1,-10,10.04987562112089,-2,-11,11.180339887498949,-2,-11,11.180339887498949,-1,-11,11.045361017187261,-1,-12,12.041594578792296,-1,-12,12.041594578792296,0,-9,9.0,-1,-8,8.06225774829855,1,-6,6.082762530298219,1,-6,6.082762530298219,3,-5,5.830951894845301,1,-1,1.4142135623730951,0,0,0.0,2,5,5.385164807134504,5,7,8.602325267042627,4,10,10.770329614269007,7,8,10.63014581273465,5,9,10.295630140987,4,11,11.704699910719626,3,17,17.26267650163207,2,21,21.095023109728988,0,22,22.0,-3,21,21.213203435596427,-4,22,22.360679774997898,-1,15,15.033296378372908,4,5,6.4031242374328485,12,-3,12.36931687685298,0,0,0.0,12,22,22.360679774997898
2,0,0,0.0,0,0,0.0,-1,0,1.0,1,-1,1.4142135623730951,2,-1,2.23606797749979,1,-1,1.4142135623730951,1,-1,1.4142135623730951,1,-1,1.4142135623730951,0,0,0.0,1,0,1.0,0,0,0.0,1,-1,1.4142135623730951,2,-3,3.605551275463989,5,-4,6.4031242374328485,6,-5,7.810249675906654,7,-6,9.219544457292887,7,-4,8.06225774829855,7,-4,8.06225774829855,7,-2,7.280109889280518,8,-2,8.246211251235321,10,-3,10.44030650891055,12,-2,12.165525060596439,14,-3,14.317821063276353,11,-2,11.180339887498949,8,-3,8.54400374531753,10,-2,10.198039027185569,9,-1,9.055385138137417,4,-1,4.123105625617661,-3,0,3.0,-10,2,10.198039027185569,-15,4,15.524174696260024,-14,5,14.866068747318506,-13,3,13.341664064126334,-12,1,12.041594578792296,-15,2,15.132745950421556,-17,1,17.029386365926403,-17,2,17.11724276862369,-15,2,15.132745950421556,-15,3,15.297058540778355,-16,3,16.278820596099706,-10,-1,10.04987562112089,-10,1,10.04987562112089,-11,9,14.212670403551895,-16,20,25.612496949731394,0,0,0.0,17,20,25.612496949731394
2,1,0,1.0,0,0,0.0,0,0,0.0,1,-1,1.4142135623730951,0,-1,1.0,1,-3,3.1622776601683795,2,-4,4.47213595499958,1,-5,5.0990195135927845,2,-4,4.47213595499958,2,-6,6.324555320336759,3,-6,6.708203932499369,2,-6,6.324555320336759,2,-9,9.219544457292887,1,-8,8.06225774829855,2,-9,9.219544457292887,1,-10,10.04987562112089,0,-10,10.0,0,-9,9.0,0,-9,9.0,-1,-10,10.04987562112089,0,-10,10.0,1,-11,11.045361017187261,0,-11,11.0,1,-9,9.055385138137417,1,-8,8.06225774829855,1,-6,6.082762530298219,2,-6,6.324555320336759,3,-5,5.830951894845301,1,-1,1.4142135623730951,0,1,1.0,1,4,4.123105625617661,4,6,7.211102550927978,3,9,9.486832980505138,6,7,9.219544457292887,4,8,8.94427190999916,3,10,10.44030650891055,0,15,15.0,-1,19,19.026297590440446,-3,19,19.235384061671343,-5,19,19.6468827043885,-6,19,19.924858845171276,-3,13,13.341664064126334,4,4,5.656854249492381,12,-2,12.165525060596439,0,0,0.0,12,19,19.924858845171276
2,0,0,0.0,0,0,0.0,-1,0,1.0,1,0,1.0,1,-2,2.23606797749979,2,-1,2.23606797749979,0,0,0.0,1,-1,1.4142135623730951,0,0,0.0,1,0,1.0,0,0,0.0,0,0,0.0,2,-2,2.8284271247461903,5,-3,5.830951894845301,7,-4,8.06225774829855,7,-4,8.06225774829855,7,-3,7.615773105863909,6,-2,6.324555320336759,6,-1,6.082762530298219,8,0,8.0,9,-1,9.055385138137417,12,0,12.0,13,1,13.038404810405298,11,-1,11.045361017187261,8,-2,8.246211251235321,8,0,8.0,8,-1,8.06225774829855,4,0,4.0,-3,-1,3.1622776601683795,-12,0,12.0,-18,1,18.027756377319946,-16,3,16.278820596099706,-14,0,14.0,-13,-1,13.038404810405298,-15,-1,15.033296378372908,-16,-2,16.1245154965971,-16,-1,16.0312195418814,-14,0,14.0,-14,1,14.035668847618199,-17,1,17.029386365926403,-8,-3,8.54400374531753,-5,-1,5.0990195135927845,-9,7,11.40175425099138,-14,17,22.02271554554524,0,0,0.0,18,17,22.02271554554524
2,0,0,0.0,0,0,0.0,1,0,1.0,0,-1,1.0,0,-2,2.0,0,-2,2.0,0,-3,3.0,1,-4,4.123105625617661,0,-4,4.0,1,-5,5.0990195135927845,2,-6,6.324555320336759,1,-6,6.082762530298219,0,-7,7.0,1,-7,7.0710678118654755,0,-9,9.0,0,-8,8.0,0,-8,8.0,-1,-7,7.0710678118654755,-1,-8,8.06225774829855,-1,-9,9.055385138137417,-1,-10,10.04987562112089,0,-9,9.0,-1,-10,10.04987562112089,0,-8,8.0,0,-7,7.0,0,-6,6.0,2,-6,6.324555320336759,2,-4,4.47213595499958,2,-2,2.8284271247461903,0,1,1.0,2,5,5.385164807134504,4,6,7.211102550927978,3,7,7.615773105863909,6,6,8.48528137423857,5,7,8.602325267042627,3,9,9.486832980505138,2,15,15.132745950421556,1,18,18.027756377319946,-1,18,18.027756377319946,-4,19,19.4164878389476,-3,18,18.24828759089466,-1,12,12.041594578792296,4,5,6.4031242374328485,11,-3,11.40175425099138,0,0,0.0,11,19,19.4164878389476
2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,-2,2.23606797749979,1,-1,1.4142135623730951,1,0,1.0,0,-1,1.0,0,0,0.0,1,0,1.0,1,0,1.0,0,-1,1.0,2,-3,3.605551275463989,3,-4,5.0,4,-6,7.211102550927978,5,-6,7.810249675906654,5,-5,7.0710678118654755,5,-3,5.830951894845301,5,-4,6.4031242374328485,6,-3,6.708203932499369,7,-4,8.06225774829855,10,-4,10.770329614269007,10,-4,10.770329614269007,10,-5,11.180339887498949,7,-4,8.06225774829855,8,-3,8.54400374531753,8,-3,8.54400374531753,4,-2,4.47213595499958,-3,0,3.0,-7,4,8.06225774829855,-11,6,12.529964086141668,-11,6,12.529964086141668,-10,5,11.180339887498949,-9,3,9.486832980505138,-13,3,13.341664064126334,-14,3,14.317821063276353,-14,3,14.317821063276353,-13,3,13.341664064126334,-11,5,12.083045973594572,-14,4,14.560219778561036,-9,0,9.0,-7,3,7.615773105863909,-10,10,14.142135623730951,-11,20,22.825424421026653,0,0,0.0,14,20,22.825424421026653
2,1,0,1.0,0,0,0.0,1,0,1.0,1,0,1.0,0,-1,1.0,2,-1,2.23606797749979,2,-2,2.8284271247461903,3,-4,5.0,2,-3,3.605551275463989,3,-3,4.242640687119285,2,-5,5.385164807134504,3,-5,5.830951894845301,3,-7,7.615773105863909,3,-6,6.708203932499369,3,-8,8.54400374531753,3,-8,8.54400374531753,1,-9,9.055385138137417,2,-8,8.246211251235321,1,-9,9.055385138137417,1,-8,8.06225774829855,1,-9,9.055385138137417,2,-10,10.198039027185569,2,-10,10.198039027185569,2,-8,8.246211251235321,2,-8,8.246211251235321,1,-5,5.0990195135927845,3,-6,6.708203932499369,3,-4,5.0,1,-1,1.4142135623730951,0,1,1.0,1,3,3.1622776601683795,3,5,5.830951894845301,1,8,8.06225774829855,5,6,7.810249675906654,3,7,7.615773105863909,1,9,9.055385138137417,-1,12,12.041594578792296,-3,16,16.278820596099706,-5,17,17.72004514666935,-7,18,19.313207915827967,-9,16,18.35755975068582,-3,10,10.44030650891055,3,4,5.0,13,-1,13.038404810405298,0,0,0.0,13,18,19.313207915827967
2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,-1,1.4142135623730951,1,-1,1.4142135623730951,1,-1,1.4142135623730951,1,-1,1.4142135623730951,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1.0,2,-3,3.605551275463989,3,-3,4.242640687119285,5,-5,7.0710678118654755,6,-5,7.810249675906654,5,-4,6.4031242374328485,5,-4,6.4031242374328485,4,-2,4.47213595499958,6,-2,6.324555320336759,7,-3,7.615773105863909,9,-3,9.486832980505138,11,-3,11.40175425099138,8,-3,8.54400374531753,7,-3,7.615773105863909,7,-2,7.280109889280518,8,-2,8.246211251235321,3,-1,3.1622776601683795,-3,-1,3.1622776601683795,-10,1,10.04987562112089,-15,3,15.297058540778355,-14,5,14.866068747318506,-11,2,11.180339887498949,-10,1,10.04987562112089,-12,1,12.041594578792296,-13,2,13.152946437965905,-12,2,12.165525060596439,-11,2,11.180339887498949,-12,2,12.165525060596439,-13,3,13.341664064126334,-7,-1,7.0710678118654755,-3,1,3.1622776601683795,-6,9,10.816653826391969,-11,18,21.095023109728988,0,0,0.0,15,18,21.095023109728988
